,Unnamed: 0,Unnamed: 0.1,clave_ct,nom_turno,nombre_ct,domicilio,localidad_inegi,nombre_localidad,nombre_colonia,municipio,nombre_municipio,sostenimiento,nivel,programa,hombres_1!,mujeres_1!,total_1!,hombres_2!,mujeres_2!,total_2!,hombres_3!,mujeres_3!,total_3!,hombres_4!,mujeres_4!,total_4!,hombres_5!,mujeres_5!,total_5!,hombres_6!,mujeres_6!,total_6!,hombres_total,mujeres_total,matricula_total,docentes,grupos,docenete_educacion_fisica,docente_actividades_artisticas,docente_actividades_tecnonologicas,docente_de_idiomas,personal_de_administrativo_y_servicios,director_con_grupo,director_sin_grupo,total_de_personal
4416,4416,4416,14KJN0559N,MATUTINO,GUAYABITOS,CONOCIDO,69,GUAYABITOS,0,58,MASCOTA,FEDERAL,PREESCOLAR,CONAFE,4,0,4,1,0,1,1,3,4,0,0,0,0,0,0,0,0,0,6,3,9,1,1,0,0,0,0,0,0,0,1
4417,4417,4417,14KJN0560C,MATUTINO,RUIZ_CORTINEZ,CONOCIDO,102,SANTA_MONICA,0,17,AYUTLA,FEDERAL,PREESCOLAR,CONAFE,1,2,3,3,0,3,2,1,3,0,0,0,0,0,0,0,0,0,6,3,9,1,1,0,0,0,0,0,0,0,1
4418,4418,4418,14KJN0562A,MATUTINO,EMILIANO_ZAPATA,CONOCIDO,54,EMILIANO_ZAPATA,0,62,MIXTLAN,FEDERAL,PREESCOLAR,CONAFE,2,4,6,0,2,2,2,0,2,0,0,0,0,0,0,0,0,0,4,6,10,1,1,0,0,0,0,0,0,0,1
4419,4419,4419,14KJN0563Z,MATUTINO,EL_REFUGIO,CONOCIDO,92,EL_REFUGIO,0,19,BOLAAOS,FEDERAL,PREESCOLAR,CONAFE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
4420,4420,4420,14KJN0564Z,MATUTINO,JARA,CONOCIDO,64,LA_JARA,0,73,SAN_JUAN_DE_LOS_LAGOS,FEDERAL,PREESCOLAR,CONAFE,2,1,3,1,6,7,0,2,2,0,0,0,0,0,0,0,0,0,3,9,12,1,1,0,0,0,0,0,0,0,1
4421,4421,4421,14KJN0565Y,MATUTINO,EL_TEPOZAN,CONOCIDO,138,EL_TEPOZAN,0,73,SAN_JUAN_DE_LOS_LAGOS,FEDERAL,PREESCOLAR,CONAFE,2,2,4,5,1,6,2,0,2,0,0,0,0,0,0,0,0,0,9,3,12,1,1,0,0,0,0,0,0,0,1
4422,4422,4422,14KJN0566X,MATUTINO,SAN_ISIDRO,CONOCIDO,44,SAN_ISIDRO,0,75,SAN_MARCOS,FEDERAL,PREESCOLAR,CONAFE,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,2,1,3,0,1,0,0,0,0,0,0,0,0
4423,4423,4423,14KJN0567W,MATUTINO,EL_RODADILLO,CONOCIDO,167,EL_RODADILLO,0,78,SAN_MIGUEL_EL_ALTO,FEDERAL,PREESCOLAR,CONAFE,1,2,3,4,1,5,1,3,4,0,0,0,0,0,0,0,0,0,6,6,12,1,1,0,0,0,0,0,0,0,1
4424,4424,4424,14KJN0571I,MATUTINO,SOYATLAN_DE_LA_PRESA,CONOCIDO,126,SOYATLAN_DE_LA_PRESA,0,85,TAMAZULA_DE_GORDIANO,FEDERAL,PREESCOLAR,CONAFE,3,3,6,5,1,6,2,1,3,0,0,0,0,0,0,0,0,0,10,5,15,1,1,0,0,0,0,0,0,0,1
4425,4425,4425,14KJN0572H,MATUTINO,JALPILLA,CONOCIDO,62,JALPILLA,0,94,TEQUILA,FEDERAL,PREESCOLAR,CONAFE,0,2,2,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,1,1,0,0,0,0,0,0,0,1
