,Unnamed: 0,Unnamed: 0.1,clave_ct,nom_turno,nombre_ct,domicilio,localidad_inegi,nombre_localidad,colonia,nombre_colonia,municipio_clave_inegi,nombre_municipio,sostenimiento,nivel,programa,deserciin_intracurricular,reprobaciin,reprobaciin__con_regularizados,eficiencia_terminal
10842,10842,10842,14KPR1540M,MATUTINO,TERRERO_EL,CONOCIDO,287,EL_TERRERO_UNO,0,0,35,ENCARNACION_DE_DIAZ,FEDERAL,PRIMARIA,CONAFE,20.0,0.0,,0.0
10843,10843,10843,14KPR1541L,MATUTINO,MEZQUITE_DE_ABAJO,CONOCIDO,139,EL_MEZQUITE_DE_ABAJO,0,0,35,ENCARNACION_DE_DIAZ,FEDERAL,PRIMARIA,CONAFE,28.57,0.0,,0.0
10844,10844,10844,14KPR1617K,MATUTINO,PEREGRINA_LA_BOQUITA,CONOCIDO,123,PEREGRINA_DE_GOMEZ,0,0,20,CABO_CORRIENTES,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10845,10845,10845,14KPR1623V,MATUTINO,SAN_PASCUAL,CONOCIDO,92,SAN_PASCUAL,0,0,72,SAN_DIEGO_DE_ALEJANDRIA,FEDERAL,PRIMARIA,CONAFE,7.14,0.0,,0.0
10846,10846,10846,14KPB0053N,MATUTINO,EL_SAUCILLO,CONOCIDO,100,EL_SAUCILLO,0,0,19,BOLAAOS,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,100.0
10847,10847,10847,14KPB0052O,MATUTINO,LOS_BORREGOS_(TOPOLOBAMPO),CONOCIDO,865,LOS_BORREGOS,0,0,61,MEZQUITIC,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10848,10848,10848,14KPB0054M,MATUTINO,CERRO_CHINO,CONOCIDO,1110,NINGUNO,0,0,61,MEZQUITIC,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10849,10849,10849,14KPB0057J,MATUTINO,EL_PEDERNAL,CONOCIDO,149,PEDERNALES,0,0,61,MEZQUITIC,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10850,10850,10850,14KPR1514O,MATUTINO,APOZOLCO,CONOCIDO,6,APOZOLCO,0,0,46,JALOSTOTITLAN,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,100.0
10851,10851,10851,14KPR1564W,MATUTINO,TAMARA,CONOCIDO,54,TAMARA,0,0,74,SAN_JULIAN,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10852,10852,10852,14KPR1576A,MATUTINO,LA_ERMITA,CONOCIDO,857,LA_ERMITA,0,0,53,LAGOS_DE_MORENO,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10853,10853,10853,14KPR1586H,MATUTINO,LLANO_LARGO,CONOCIDO,87,LLANO_LARGO,0,0,69,QUITUPAN,FEDERAL,PRIMARIA,CONAFE,20.0,0.0,,0.0
