,Unnamed: 0,Unnamed: 0.1,municipio,clave_ct,responsable,turno,nombre_ct,director,nivel,matricula,docente,grupos,aulas_existentes,aulas_uso,inversion_tiempo_completo_2014,inversion_tiempo_completo_2015,inversion_aulas_interactivas_2015,inversion_aulas_interactivas_2014,inversion_aulas_interactivas_2013,inversion_aulas_provisionales_2013,inversion_aulas_provisionales_2014,inversion_aulas_provisionales_2015,inversion_pec_2013,inversion_pec_2014,inversion_mobiliario,inversion_excelencia_2014,inversion_pes_2013,inversion_pes_2014,inversion_coniba_2013,inversion_escuela_digna_2013,inversion_fonden_2013,inversion_programa_sana_2013,inversion_coniba_2014,inversion_escuelas_de_tiempo_completo_2014,inversion_escuela_digna_2014,inversion_faeb_2014,inversion_fonden_2014,inversion_infraestructura_educativa_estatal_2014_(recurso_2013),inversion_programa_escuelas_de_excelencia_2014,inversion_programa_sana_2014,inversion_programa_coniba_2015,inversion_escuelas_de_tiempo_completo_2015_(recurso_2014),inversion_programa_escuela_digna_2015,inversion_faeb_2015,inversion_fonden_2015,inversion_infraestructura_educativa_estatal_2015_(recurso_2013),inversion_programa_escuelas_de_excelencia_2015_(recurso_2014),inversion_programa_sana_2015,otros_programas,beneficiarios_alimentos_dif_2014_digit,aulas_interactivas_observacion_aulas,aulas_interactivas_observacion_por_sustituir,aulas_interactivas_observacion_sust_2013,aulas_interactivas_observacion_sust_2014,aulas_interactivas_observacion_sust_2015,aulas_interactivas_observacion_otro_uso,aulas_provisionales_observacion_aulas,aulas_provisionales_observacion_por_sustituir,aulas_provisionales_observacion_sust_2013,aulas_provisionales_observacion_sust_2014,aulas_provisionales_observacion_sust_2015,aulas_provisionales_observacion_otro_uso,conectividad_mbs,observacion_pec2013_pec2013,observacion_pec2014_pec2014,observacion_mobiliario_piezas,observacion_mobiliario_alumnos,observacion_mobiliario_matricula,inmueble_cleaned,director_cleaned,responsable_cleaned,turno_cleaned,nombre_ct_cleaned,nivel_cleaned
1396,1396,1396,OJUELOS DE JALISCO,14DPR1948R,L,VESPERTINO,NICOLAS BRAVO,GILBERTO YAÃÂÃÂEZ MORALES,PRIMARIA,131.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1401992a,gilberto_yaaaez_morales,l,vespertino,nicolas_bravo,primaria
1397,1397,1397,OJUELOS DE JALISCO,14DPR0691B,R,MATUTINO,HIJOS DEL EJIDO,PEDRO BENAVIDES RAMIREZ,PRIMARIA,129.0,6.0,6.0,6.0,6.0,,,,,,,,,,,162782.9,,,,,,,,,,900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,127.0,247.0,1401992a,pedro_benavides_ramirez,r,matutino,hijos_del_ejido,primaria
1398,1398,1398,OJUELOS DE JALISCO,14DJN0855E,R,MATUTINO,AURELIA L DE GUEVARA,CITLALLI GOMEZ LEPIZ,PREESCOLAR,29.0,2.0,2.0,2.0,2.0,,,,,,,,,,,27907.08,,81.2,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,55.0,37.0,37.0,1401993e,citlalli_gomez_lepiz,r,matutino,aurelia_l_de_guevara,preescolar
1399,1399,1399,OJUELOS DE JALISCO,14DJN0799C,R,MATUTINO,LAZARO CARDENAS DEL RIO,JOSE ANGEL TOVAR QUIROZ,PREESCOLAR,32.0,2.0,2.0,2.0,2.0,,,,,,,,,,,28985.88,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,57.0,38.0,38.0,1401994x,jose_angel_tovar_quiroz,r,matutino,lazaro_cardenas_del_rio,preescolar
1400,1400,1400,OJUELOS DE JALISCO,14DPR0695Y,R,MATUTINO,GUADALUPE VICTORIA,MARIA DE LA LUZ AMATON OLIVA,PRIMARIA,141.0,6.0,6.0,7.0,6.0,231000.0,602982.68,,,,,,,,,177317.94,,,,,,,,,249521.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.0,140.0,140.0,1401995b,maria_de_la_luz_amaton_oliva,r,matutino,guadalupe_victoria,primaria
1401,1401,1401,OJUELOS DE JALISCO,14DJN0650L,R,MATUTINO,ESTEFANIA CASTAÃÂÃÂEDA,MA.DEL CARMEN MUÃÂÃÂIZ MACIAS,PREESCOLAR,121.0,4.0,4.0,5.0,4.0,,,,,,,,,,,82766.76,,81.2,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,177.0,124.0,124.0,1401996f,ma.del_carmen_muaaiz_macias,r,matutino,estefania_castaaaeda,preescolar
1402,1402,1402,OJUELOS DE JALISCO,14EJN0963L,R,MATUTINO,JUAN ESCUTIA,MA LUISA MARTINEZ,PREESCOLAR,71.0,3.0,3.0,3.0,3.0,,,,,,,,,,,50812.92,,,9997.85,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,104.0,71.0,71.0,1401997j,ma_luisa_martinez,r,matutino,juan_escutia,preescolar
1403,1403,1403,OJUELOS DE JALISCO,14DJN0255K,R,MATUTINO,ROSAURA ZAPATA,AMPARO FABIOLA TORRES CASTELLANOS,PREESCOLAR,59.0,2.0,2.0,2.0,2.0,,,,,,,,,,,35911.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,52.0,52.0,1401998c,amparo_fabiola_torres_castellanos,r,matutino,rosaura_zapata,preescolar
1404,1404,1404,OJUELOS DE JALISCO,14EPR0629Y,R,MATUTINO,IGNACIO HERRERA Y CAIRO,MARIA TRINIDAD GONZALEZ GONZALEZ,PRIMARIA,132.0,6.0,6.0,6.0,6.0,,,,,,,,,60000.0,,187239.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,,279.0,149.0,149.0,1401999g,maria_trinidad_gonzalez_gonzalez,r,matutino,ignacio_herrera_y_cairo,primaria
1405,1405,1405,OJUELOS DE JALISCO,14DJN1524V,R,MATUTINO,ROSAS DE LA INFANCIA,NORMA ANGELICA CARRILLO FERNANDEZ,PREESCOLAR,28.0,1.0,2.0,2.0,1.0,,,,,,,,,,,21242.88,,81.2,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,38.0,24.0,24.0,1402000e,norma_angelica_carrillo_fernandez,r,matutino,rosas_de_la_infancia,preescolar
