,Unnamed: 0,Unnamed: 0.1,municipio,clave_ct,responsable,turno,nombre_ct,director,nivel,matricula,docente,grupos,aulas_existentes,aulas_uso,inversion_tiempo_completo_2014,inversion_tiempo_completo_2015,inversion_aulas_interactivas_2015,inversion_aulas_interactivas_2014,inversion_aulas_interactivas_2013,inversion_aulas_provisionales_2013,inversion_aulas_provisionales_2014,inversion_aulas_provisionales_2015,inversion_pec_2013,inversion_pec_2014,inversion_mobiliario,inversion_excelencia_2014,inversion_pes_2013,inversion_pes_2014,inversion_coniba_2013,inversion_escuela_digna_2013,inversion_fonden_2013,inversion_programa_sana_2013,inversion_coniba_2014,inversion_escuelas_de_tiempo_completo_2014,inversion_escuela_digna_2014,inversion_faeb_2014,inversion_fonden_2014,inversion_infraestructura_educativa_estatal_2014_(recurso_2013),inversion_programa_escuelas_de_excelencia_2014,inversion_programa_sana_2014,inversion_programa_coniba_2015,inversion_escuelas_de_tiempo_completo_2015_(recurso_2014),inversion_programa_escuela_digna_2015,inversion_faeb_2015,inversion_fonden_2015,inversion_infraestructura_educativa_estatal_2015_(recurso_2013),inversion_programa_escuelas_de_excelencia_2015_(recurso_2014),inversion_programa_sana_2015,otros_programas,beneficiarios_alimentos_dif_2014_digit,aulas_interactivas_observacion_aulas,aulas_interactivas_observacion_por_sustituir,aulas_interactivas_observacion_sust_2013,aulas_interactivas_observacion_sust_2014,aulas_interactivas_observacion_sust_2015,aulas_interactivas_observacion_otro_uso,aulas_provisionales_observacion_aulas,aulas_provisionales_observacion_por_sustituir,aulas_provisionales_observacion_sust_2013,aulas_provisionales_observacion_sust_2014,aulas_provisionales_observacion_sust_2015,aulas_provisionales_observacion_otro_uso,conectividad_mbs,observacion_pec2013_pec2013,observacion_pec2014_pec2014,observacion_mobiliario_piezas,observacion_mobiliario_alumnos,observacion_mobiliario_matricula,inmueble_cleaned,director_cleaned,responsable_cleaned,turno_cleaned,nombre_ct_cleaned,nivel_cleaned
0,0,0,AHUALULCO DE MERCADO,14DPR0273Q,R,MATUTINO,5 DE MAYO,ANGELICA IVETT FLORES CARDENAS,PRIMARIA,329.0,12.0,12.0,12.0,12.0,90000.0,180000.0,,,,,,,,,381698.49,,,,,,,,,,999999.14,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,2.0,,,569.0,304.0,304.0,1406848k,angelica_ivett_flores_cardenas,r,matutino,5_de_mayo,primaria
1,1,1,AHUALULCO DE MERCADO,14EPR0482V,R,MATUTINO,VALENTIN GOMEZ FARIAS,MARIA EDITH CRUZ CASTAÃÂÃÂEDA,PRIMARIA,94.0,6.0,6.0,6.0,6.0,90000.0,179999.93,,,,,,,50000.0,,123492.25,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,2.0,94.0,,179.0,93.0,93.0,1406850c,maria_edith_cruz_castaaaeda,r,matutino,valentin_gomez_farias,primaria
2,2,2,AHUALULCO DE MERCADO,14EJN0200G,R,MATUTINO,EMILIANO ZAPATA,HILDA GARCIA VEGA,PREESCOLAR,144.0,5.0,5.0,5.0,5.0,90000.0,180000.0,,,,,,,90000.0,,96589.8,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,2.0,144.0,,204.0,142.0,142.0,1406852k,hilda_garcia_vega,r,matutino,emiliano_zapata,preescolar
3,3,3,AHUALULCO DE MERCADO,14DJN0155L,R,MATUTINO,JAVIER URIBE,MARIA ELENA ARELLANO NUÃÂÃÂEZ,PREESCOLAR,111.0,4.0,4.0,4.0,4.0,,,,,,,,,,,79304.16,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,2.0,,,168.0,117.0,117.0,1406854h,maria_elena_arellano_nuaaez,r,matutino,javier_uribe,preescolar
4,4,4,AHUALULCO DE MERCADO,14EPR0014B,R,MATUTINO,JOSE MA MERCADO,MARIA CONSEPCION PINZON RODRIGUEZ,PRIMARIA,289.0,12.0,12.0,12.0,12.0,,,,,,,,,,58900.0,349018.43,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,2.0,,289.0,518.0,276.0,344.0,1406855a,maria_consepcion_pinzon_rodriguez,r,matutino,jose_ma_mercado,primaria
5,5,5,AHUALULCO DE MERCADO,14EPR0347Q,L,VESPERTINO,PATRIA,JESUS OMAR CERVANTES VALDERRAMA,PRIMARIA,72.0,6.0,6.0,12.0,6.0,,,,,,,,,60000.0,49000.0,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,2.0,72.0,68.0,,,,1406855a,jesus_omar_cervantes_valderrama,l,vespertino,patria,primaria
6,6,6,AHUALULCO DE MERCADO,14EPR1183D,R,MATUTINO,LEONARDO OLIVA,MARGARITA OLIVA HERNANDEZ,PRIMARIA,313.0,12.0,12.0,12.0,12.0,,,,,,,,,60000.0,71300.0,369267.14,,,10000.0,,,,,,,,,,,,506607.84,,,,,,,,,,60.0,,,,,,,,,,,,,2.0,313.0,313.0,550.0,294.0,391.0,1406856e,margarita_oliva_hernandez,r,matutino,leonardo_oliva,primaria
7,7,7,AHUALULCO DE MERCADO,14EPR0388Q,L,VESPERTINO,LUIS MANUEL ROJAS ARRIOLA,GILBERTO PONCE,PRIMARIA,77.0,6.0,6.0,14.0,6.0,,,,,,,,,,49000.0,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,2.0,,97.0,,,,1406856e,gilberto_ponce,l,vespertino,luis_manuel_rojas_arriola,primaria
8,8,8,AHUALULCO DE MERCADO,14DJN0424P,R,MATUTINO,QUETZALCOATL,SARAYN MATA RAMOS,PREESCOLAR,94.0,4.0,4.0,4.0,4.0,,,,,,,,,,,64896.96,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,2.0,,,132.0,90.0,145.0,1406857x,sarayn_mata_ramos,r,matutino,quetzalcoatl,preescolar
9,9,9,AHUALULCO DE MERCADO,14DJN1423X,L,VESPERTINO,QUETZALCOATL,GRACIELA CONTRERAS GUERRERO,PREESCOLAR,57.0,3.0,3.0,4.0,3.0,,,,,,,,,64000.0,57400.0,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,2.0,57.0,55.0,,,,1406857x,graciela_contreras_guerrero,l,vespertino,quetzalcoatl,preescolar
10,10,10,AHUALULCO DE MERCADO,14DPR0056B,R,MATUTINO,NIÃÂÃÂOS HEROES,JOSE DANIEL LOPEZ PARRA,PRIMARIA,190.0,6.0,6.0,6.0,6.0,,90000.0,,,,,,,,,245899.75,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,2.0,,,375.0,205.0,205.0,1406858b,jose_daniel_lopez_parra,r,matutino,niaaos_heroes,primaria
11,11,11,AHUALULCO DE MERCADO,14EPR0011E,R,MATUTINO,BENITO JUAREZ,CATALINA VEGA OROZCO,PRIMARIA,212.0,9.0,9.0,16.0,9.0,90000.0,180000.0,,,,,,,60000.0,,251683.85,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,2.0,212.0,,370.0,195.0,195.0,1406859f,catalina_vega_orozco,r,matutino,benito_juarez,primaria
12,12,12,AHUALULCO DE MERCADO,14EJN0072B,R,MATUTINO,NIÃÂÃÂO ARTILLERO,ROSA GARCIA RODRIGUEZ,PREESCOLAR,67.0,3.0,3.0,3.0,3.0,,,,,,,,,50000.0,49000.0,46010.52,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,2.0,67.0,62.0,92.0,62.0,62.0,1406861x,rosa_garcia_rodriguez,r,matutino,niaao_artillero,preescolar
13,13,13,AHUALULCO DE MERCADO,14EPR0013C,R,MATUTINO,JOSE MA MERCADO,ELVIRA FIGUEROA RIVERA,PRIMARIA,183.0,6.0,6.0,6.0,6.0,,,,,,,,,40000.0,49000.0,220150.99,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,2.0,183.0,183.0,331.0,178.0,178.0,1406862b,elvira_figueroa_rivera,r,matutino,jose_ma_mercado,primaria
14,14,14,AHUALULCO DE MERCADO,14DJN0261V,R,MATUTINO,PETRITA GODINEZ AGUAYO,LEONOR GUERRERO AVILA,PREESCOLAR,179.0,7.0,7.0,7.0,7.0,,,,,,,,,,,115970.88,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,2.0,,,237.0,162.0,162.0,1406864j,leonor_guerrero_avila,r,matutino,petrita_godinez_aguayo,preescolar
15,15,15,AHUALULCO DE MERCADO,14DJN1446H,R,MATUTINO,FEDERICO FROEBEL,MARIA LEOCRICIA GARCIA ALDAZ,PREESCOLAR,26.0,1.0,3.0,2.0,1.0,,,,,,,,1000000.0,,,15162.84,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,2.0,2.0,0.0,0.0,2.0,0.0,2.0,,,30.0,20.0,57.0,1406865c,maria_leocricia_garcia_aldaz,r,matutino,federico_froebel,preescolar
16,16,16,AHUALULCO DE MERCADO,14EJN0782B,R,MATUTINO,JUAN ESCUTIA,ELVIRA LEMUS ESCATEL,PREESCOLAR,178.0,6.0,6.0,6.0,6.0,,,,,,,,,70000.0,69000.0,118155.84,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,2.0,178.0,178.0,250.0,174.0,174.0,1406866g,elvira_lemus_escatel,r,matutino,juan_escutia,preescolar
18,18,18,AHUALULCO DE MERCADO,14DES0008L,L,VESPERTINO,JOSE MA MERCADO,OLGA MARGARITA POLANCO DURAN,SECUNDARIA,230.0,10.0,9.0,18.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,2.512,,,,,,1406867k,olga_margarita_polanco_duran,l,vespertino,jose_ma_mercado,secundaria
19,19,19,AHUALULCO DE MERCADO,14DPR2726O,R,MATUTINO,MA LUISA VALENCIA,JOSE LUIS IBARRA MATA,PRIMARIA,187.0,7.0,7.0,8.0,7.0,,90000.0,,,,,,,,53700.0,237302.31,,,,,,,,,,,,,,,,,,,,,,,700150.2,,40.0,,,,,,,,,,,,,2.0,,187.0,354.0,189.0,189.0,1406868d,jose_luis_ibarra_mata,r,matutino,ma_luisa_valencia,primaria
20,20,20,AHUALULCO DE MERCADO,14DJN0567M,R,MATUTINO,GUSTAVO DIAZ ORDAZ,MA. DOLORES GARCIA RODRIGUEZ,PREESCOLAR,71.0,4.0,4.0,5.0,4.0,,,,,,,,,80000.0,,53691.36,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,2.0,71.0,,104.0,69.0,69.0,1406869h,ma._dolores_garcia_rodriguez,r,matutino,gustavo_diaz_ordaz,preescolar
21,21,21,AHUALULCO DE MERCADO,14DES0048M,R,MATUTINO,LUIS MANUEL ROJAS,ELOISA FIGUEROA AHUMADA,SECUNDARIA,122.0,10.0,5.0,6.0,5.0,,,,,250000.0,,,,60000.0,69000.0,111249.2,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,2.0,122.0,122.0,137.0,122.0,122.0,1406870g,eloisa_figueroa_ahumada,r,matutino,luis_manuel_rojas,secundaria
22,22,22,AHUALULCO DE MERCADO,14DPR2725P,R,MATUTINO,JOSE MA MORELOS Y PAVON,PERLA IDANIA GUERRERO ORTEGA,PRIMARIA,37.0,2.0,6.0,6.0,2.0,,,,,,,,,,,50941.92,81150.04,,,,,,,,,,,,,,,,,,,,,416150.0,,,30.0,,,,,,,,,,,,,2.0,,,72.0,36.0,36.0,1406871k,perla_idania_guerrero_ortega,r,matutino,jose_ma_morelos_y_pavon,primaria
23,23,23,AHUALULCO DE MERCADO,14DTV0535J,R,MATUTINO,CUAUHTEMOC,MA. DEL CARMEN VARO CARRILLO,SECUNDARIA,15.0,2.0,3.0,3.0,3.0,,,,,,,,,,,22477.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,25.0,19.0,19.0,1406872d,ma._del_carmen_varo_carrillo,r,matutino,cuauhtemoc,secundaria
24,24,24,AHUALULCO DE MERCADO,14DJN0423Q,R,MATUTINO,EMILIANO ZAPATA,ALICIA MORA HERNANDEZ,PREESCOLAR,19.0,1.0,3.0,1.0,1.0,,,,,,,,,,49000.0,13562.04,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,2.0,,17.0,26.0,17.0,17.0,1406873h,alicia_mora_hernandez,r,matutino,emiliano_zapata,preescolar
25,25,25,AHUALULCO DE MERCADO,14DPR2233C,R,MATUTINO,BENITO JUAREZ,REFUGIO ENRIQUE GOMEZ QUINTERO,PRIMARIA,13.0,1.0,5.0,1.0,1.0,,,,,,,,,,,19853.51,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,2.0,,,28.0,14.0,14.0,1406874a,refugio_enrique_gomez_quintero,r,matutino,benito_juarez,primaria
26,26,26,AHUALULCO DE MERCADO,14DPR2157N,R,MATUTINO,GUILLERMO PRIETO,ANGELICA IVETT FLORES CARDENAS,PRIMARIA,8.0,1.0,5.0,1.0,1.0,,,,,,,,,,,11398.7,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,15.0,7.0,7.0,1406875e,angelica_ivett_flores_cardenas,r,matutino,guillermo_prieto,primaria
27,27,27,AHUALULCO DE MERCADO,14DJN0617D,R,MATUTINO,MARIANO ABASOLO,LOURDES MARGARITA SUAREZ ROMERO,PREESCOLAR,75.0,4.0,4.0,4.0,4.0,,,,,,,,,60000.0,49000.0,64896.96,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,2.0,75.0,90.0,132.0,90.0,90.0,1406876x,lourdes_margarita_suarez_romero,r,matutino,mariano_abasolo,preescolar
28,28,28,AHUALULCO DE MERCADO,14DPR2743E,R,MATUTINO,EMILIANO ZAPATA,CESAR OCTAVIO NUÃÂÃÂO DONATO,PRIMARIA,206.0,8.0,8.0,10.0,8.0,,90000.0,,,,,,,,67000.0,210122.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,170.0,315.0,170.0,170.0,1406877b,cesar_octavio_nuaao_donato,r,matutino,emiliano_zapata,primaria
29,29,29,AHUALULCO DE MERCADO,14DTV0275N,R,MATUTINO,MARIANO BARCENAS,ALFREDO HERNANDEZ VENEGAS,SECUNDARIA,103.0,5.0,5.0,5.0,5.0,,,,,,,,,,,115683.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,143.0,128.0,128.0,1406878f,alfredo_hernandez_venegas,r,matutino,mariano_barcenas,secundaria
30,30,30,AHUALULCO DE MERCADO,14EJN0896D,R,MATUTINO,LEONARDO OLIVA,ELVA NUÃÂÃÂEZ NUÃÂÃÂEZ,PREESCOLAR,7.0,1.0,3.0,1.0,1.0,,,,,,,,,,,7680.84,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,12.0,7.0,7.0,1406879j,elva_nuaaez_nuaaez,r,matutino,leonardo_oliva,preescolar
31,31,31,AHUALULCO DE MERCADO,14DPR2234B,R,MATUTINO,VALENTIN GOMEZ FARIAS,JOSEFINA REYES ORTIZ,PRIMARIA,17.0,1.0,6.0,2.0,2.0,,,,,,,,,,,24196.61,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,2.0,,,35.0,18.0,18.0,1406880x,josefina_reyes_ortiz,r,matutino,valentin_gomez_farias,primaria
32,32,32,AHUALULCO DE MERCADO,14DJN0703Z,R,MATUTINO,JOSE MA MORELOS Y PAVON,CARMEN LUZ BARAJAS DAVILA,PREESCOLAR,100.0,4.0,4.0,4.0,4.0,,,,,,,,500000.0,,,69960.36,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,2.0,,,145.0,100.0,100.0,1406881b,carmen_luz_barajas_davila,r,matutino,jose_ma_morelos_y_pavon,preescolar
33,33,33,AHUALULCO DE MERCADO,14DPR2732Z,R,MATUTINO,JOSE MA MORELOS Y PAVON,PEDRO CARRILLO LOZANO,PRIMARIA,187.0,7.0,7.0,8.0,7.0,90000.0,180000.0,,,,,,,110000.0,,238904.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,187.0,,357.0,191.0,191.0,1406882f,pedro_carrillo_lozano,r,matutino,jose_ma_morelos_y_pavon,primaria
34,34,34,AHUALULCO DE MERCADO,14DJN0613H,R,MATUTINO,LAZARO CARDENAS DEL RIO,OLGA RAMIREZ ROSALES,PREESCOLAR,52.0,2.0,3.0,2.0,2.0,,,,,,,,,,49000.0,35911.08,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,2.0,,52.0,75.0,52.0,52.0,1406883j,olga_ramirez_rosales,r,matutino,lazaro_cardenas_del_rio,preescolar
35,35,35,AHUALULCO DE MERCADO,14DPR2744D,R,MATUTINO,LUIS DE LA PEÃÂÃÂA,VICTOR HUGO CORDOVA RUVALCABA,PRIMARIA,127.0,6.0,6.0,6.0,6.0,,90000.0,,,,,,,110000.0,69000.0,153651.69,,,10000.0,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,2.0,127.0,122.0,228.0,122.0,122.0,1406884c,victor_hugo_cordova_ruvalcaba,r,matutino,luis_de_la_peaaa,primaria
36,36,36,AHUALULCO DE MERCADO,14DTV0204T,R,MATUTINO,MIGUEL HIDALGO,RAMON CASTILLO ROBLES,SECUNDARIA,114.0,6.0,6.0,6.0,6.0,,,,,,,,500000.0,,,125074.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,2.0,,,153.0,135.0,135.0,1406885g,ramon_castillo_robles,r,matutino,miguel_hidalgo,secundaria
37,37,37,AMATITAN,14DJN0375X,R,MATUTINO,MANUEL M PONCE,ILIANA INOCENCIA BONILLA LOPEZ,PREESCOLAR,67.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,22.0,,,,,,1406886k,iliana_inocencia_bonilla_lopez,r,matutino,manuel_m_ponce,preescolar
38,38,38,AMATITAN,14EJN0988U,R,MATUTINO,FRANCISCO MARQUEZ,HAYDEE PARTIDA CALDERON,PREESCOLAR,82.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,50000.0,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,22.0,,,,,,1406887d,haydee_partida_calderon,r,matutino,francisco_marquez,preescolar
39,39,39,AMATITAN,14DST0012Q,R,MATUTINO,ESCUELA SECUNDARIA TECNICA 12,JOSE DE JESUS VARGAS PEÃÂÃÂA,SECUNDARIA,440.0,15.0,11.0,11.0,11.0,,,,,550000.0,,,,,,,129901.07,,,2060821.85,,,,,,,,,,,,,,,,,,698629.99,,,,11.0,,,,,,,,,,,,2.512,,,,,,1406890k,jose_de_jesus_vargas_peaaa,r,matutino,escuela_secundaria_tecnica_12,secundaria
40,40,40,AMATITAN,14DST0012Q,L,VESPERTINO,ESCUELA SECUNDARIA TECNICA 12,JOSE DE JESUS VARGAS PEÃÂÃÂA,SECUNDARIA,341.0,13.0,9.0,11.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,2.512,,,,,,1406890k,jose_de_jesus_vargas_peaaa,l,vespertino,escuela_secundaria_tecnica_12,secundaria
41,41,41,AMATITAN,14DJN0366P,R,MATUTINO,MANUEL AVILA CAMACHO,ZOILA XITLADITH AMARAL TOPETE,PREESCOLAR,68.0,4.0,4.0,4.0,4.0,,,,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,22.0,,,,,,1406891d,zoila_xitladith_amaral_topete,r,matutino,manuel_avila_camacho,preescolar
42,42,42,AMATITAN,14DPR3030O,R,MATUTINO,GABRIELA MISTRAL,MARTHA RODRIGUEZ ALDANA,PRIMARIA,190.0,7.0,7.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,22.0,,,,,,1406892h,martha_rodriguez_aldana,r,matutino,gabriela_mistral,primaria
45,45,45,AMATITAN,14DJN0225Q,R,MATUTINO,IGNACIO ZARAGOZA,CATALINA RODRIGUEZ NUÃÂÃÂEZ,PREESCOLAR,83.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,1406894e,catalina_rodriguez_nuaaez,r,matutino,ignacio_zaragoza,preescolar
46,46,46,AMATITAN,14DJN0450N,L,VESPERTINO,ALFREDO RAMON PLASCENCIA,ESTHER MICAELA CURIEL PEÃÂÃÂA,PREESCOLAR,74.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,1406894e,esther_micaela_curiel_peaaa,l,vespertino,alfredo_ramon_plascencia,preescolar
47,47,47,AMATITAN,14DPR0247S,R,MATUTINO,SINDICATO NAL DE TRABAJADORES DE LA EDUC,JOSE GUADALUPE FLORES PLASCENCIA,PRIMARIA,243.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,1406896b,jose_guadalupe_flores_plascencia,r,matutino,sindicato_nal_de_trabajadores_de_la_educ,primaria
48,48,48,AMATITAN,14DPR0532N,L,VESPERTINO,SINDICATO NAL DE TRABAJADORES DE LA EDUC,JOSE GUADALUPE FLORES PLASCENCIA,PRIMARIA,188.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,1406896b,jose_guadalupe_flores_plascencia,l,vespertino,sindicato_nal_de_trabajadores_de_la_educ,primaria
49,49,49,AMATITAN,14DJN5579Z,R,MATUTINO,MIGUEL HIDALGO Y COSTILLA,YESENIA LIZETH REYNAGA LOPEZ,PREESCOLAR,12.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,1406897f,yesenia_lizeth_reynaga_lopez,r,matutino,miguel_hidalgo_y_costilla,preescolar
50,50,50,AMATITAN,14DPR2738T,R,MATUTINO,PEDRO OGAZON,ROSA ELENA LIZAOLA GARCIA,PRIMARIA,50.0,2.0,6.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,1406898j,rosa_elena_lizaola_garcia,r,matutino,pedro_ogazon,primaria
51,51,51,AMATITAN,14DTV0214Z,R,MATUTINO,LAZARO CARDENAS DEL RIO,JOSE RAYMUNDO ACOSTA POLANCO,SECUNDARIA,67.0,4.0,4.0,5.0,4.0,,,,,,,,,,33000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512,,67.0,,,,1406899c,jose_raymundo_acosta_polanco,r,matutino,lazaro_cardenas_del_rio,secundaria
52,52,52,AMATITAN,14DJN0515G,R,MATUTINO,QUETZALCOATL,MARTHA ALEJANDRA MUÃÂÃÂIZ NAVA,PREESCOLAR,15.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512,,,,,,1406900e,martha_alejandra_muaaiz_nava,r,matutino,quetzalcoatl,preescolar
53,53,53,AMATITAN,14DPR2741G,R,MATUTINO,MANUEL LOPEZ COTILLA,BLANCA ESMERALDA FLORES SANCHEZ,PRIMARIA,38.0,3.0,6.0,3.0,3.0,,,,,,,,,,,,81150.04,,,,,,,,,,,,,,,,,,,,,416150.0,,,25.0,,,,,,,,,,,,,0.512,,,,,,1406901x,blanca_esmeralda_flores_sanchez,r,matutino,manuel_lopez_cotilla,primaria
54,54,54,AMATITAN,14DPR2300K,R,MATUTINO,EMILIANO ZAPATA,SANDRA EDITH RAMOS RODRIGUEZ,PRIMARIA,44.0,3.0,6.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,1406902b,sandra_edith_ramos_rodriguez,r,matutino,emiliano_zapata,primaria
55,55,55,AMATITAN,14DPR2888Z,R,MATUTINO,PATRIA,NELIDA ALICIA SOLIS ESTRADA,PRIMARIA,243.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,2.0,,,,,,1406903f,nelida_alicia_solis_estrada,r,matutino,patria,primaria
56,56,56,AMATITAN,14DJN0263T,R,MATUTINO,MOCTEZUMA,MARVELLA SALDIVAR ROSALES,PREESCOLAR,69.0,4.0,4.0,4.0,4.0,,,,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,2.0,,,,,,1406904j,marvella_saldivar_rosales,r,matutino,moctezuma,preescolar
57,57,57,AMATITAN,14DTV0295A,R,MATUTINO,JAIME TORRES BODET,MARIN MEDINA TORRES,SECUNDARIA,40.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1406905c,marin_medina_torres,r,matutino,jaime_torres_bodet,secundaria
58,58,58,AMATITAN,14DJN0866K,R,MATUTINO,ELISA L DE GUEVARA,SANDRA VERA TIZNADO,PREESCOLAR,20.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,2.0,,,,,,1406906g,sandra_vera_tiznado,r,matutino,elisa_l_de_guevara,preescolar
59,59,59,AMATITAN,14DPR2887A,R,MATUTINO,LAZARO CARDENAS DEL RIO,CLAUDIA IBETH CAMBERO RODRIGUEZ,PRIMARIA,89.0,4.0,6.0,4.0,4.0,,296793.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1406907k,claudia_ibeth_cambero_rodriguez,r,matutino,lazaro_cardenas_del_rio,primaria
60,60,60,AMATITAN,14DTV0213A,R,MATUTINO,JOSE CLEMENTE OROZCO,JUAN FLORES HERMOSILLO,SECUNDARIA,38.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,3.0,,,,,,1406908d,juan_flores_hermosillo,r,matutino,jose_clemente_orozco,secundaria
61,61,61,AMATITAN,14DPR2151T,R,MATUTINO,ADOLFO LOPEZ MATEOS,RAFAEL ALCANTAR RUIZ,PRIMARIA,17.0,1.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,2.0,,,,,,1407452b,rafael_alcantar_ruiz,r,matutino,adolfo_lopez_mateos,primaria
62,62,62,AMATITAN,14DPR3026B,R,MATUTINO,XICOTENCATL,ISELA GUADALUPE ALVAREZ ADAME,PRIMARIA,21.0,1.0,6.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,1407461k,isela_guadalupe_alvarez_adame,r,matutino,xicotencatl,primaria
