Date,Close
2019-01-02,443.35998499999994
2019-01-03,439.450012
2019-01-04,455.0
2019-01-07,485.14999400000005
2019-01-08,497.369995
2019-01-09,498.48001100000005
2019-01-10,509.619995
2019-01-11,506.950012
2019-01-14,501.98999000000003
2019-01-15,514.48999
2019-01-16,514.820007
2019-01-17,517.659973
2019-01-18,513.23999
2019-01-22,520.080017
2019-01-23,521.369995
2019-01-24,533.3900150000001
2019-01-25,543.369995
2019-01-28,532.0
2019-01-29,530.0599980000001
2019-01-30,532.97998
2019-01-31,529.6099849999999
2019-02-01,527.200012
2019-02-04,527.919983
2019-02-05,526.650024
2019-02-06,526.0599980000001
2019-02-07,585.780029
2019-02-08,582.77002
2019-02-11,603.3599849999999
2019-02-12,593.659973
2019-02-13,599.619995
2019-02-14,604.429993
2019-02-15,605.8900150000001
2019-02-19,599.460022
2019-02-20,597.73999
2019-02-21,601.1900019999999
2019-02-22,600.219971
2019-02-25,596.659973
2019-02-26,599.5
2019-02-27,599.280029
2019-02-28,607.530029
2019-03-01,611.630005
2019-03-04,618.849976
2019-03-05,616.01001
2019-03-06,613.409973
2019-03-07,609.530029
2019-03-08,616.4400019999999
2019-03-11,616.880005
2019-03-12,630.98999
2019-03-13,637.070007
2019-03-14,642.3900150000001
2019-03-15,639.0
2019-03-18,655.799988
2019-03-19,665.8599849999999
2019-03-20,665.789978
2019-03-21,670.450012
2019-03-22,671.460022
2019-03-25,676.77002
2019-03-26,688.820007
2019-03-27,697.869995
2019-03-28,702.51001
2019-03-29,710.3099980000001
2019-04-01,705.73999
2019-04-02,704.799988
2019-04-03,705.6400150000001
2019-04-04,703.380005
2019-04-05,708.369995
2019-04-08,714.679993
2019-04-09,710.669983
2019-04-10,718.849976
2019-04-11,707.530029
2019-04-12,712.4400019999999
2019-04-15,712.27002
2019-04-16,706.47998
2019-04-17,688.210022
2019-04-18,700.0
2019-04-22,701.669983
2019-04-23,702.460022
2019-04-24,709.75
2019-04-25,678.070007
2019-04-26,676.789978
2019-04-29,677.900024
2019-04-30,688.039978
2019-05-01,688.5599980000001
2019-05-02,707.869995
2019-05-03,709.52002
2019-05-06,716.669983
2019-05-07,706.52002
2019-05-08,709.570007
2019-05-09,705.130005
